ID,Catalog#,Artist,Artist2,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Collection Cost,Collection Autographed, Min , Median , Max ,Genre,Subgenre,Label1,Label2,Label3,Label4
311,ROBO-041,Isis (6),Isis (6),Panopticon,Robotic Empire,"LP, Cle + LP, Ora + Album, Ltd, RM, RP, 7th",5.0,2014,6522885.0,Vinyl,1/13/15 10:25,,,,27.0,Yes,8.5,47.49,65.92,Metal,Post Metal,Robotic Empire,,,
23,"NSP 128, NSP 128-CD",Saor,Saor,Aura,"Northern Silence Productions, Soulfood (2), Northern Silence Productions, Soulfood (2)","CD, Album",,2014,5830430.0,CD,7/21/19 20:28,,,,10.0,Yes,8.89,13.33,15.38,Metal,Black Metal,Northern Silence Productions,Soulfood (2),Northern Silence Productions,Soulfood (2)
359,"RR 6515-1, RR6515",Mastodon,Mastodon,Call Of The Mastodon,"Relapse Records, Relapse Records","LP, Comp, RP, Whi",,2014,5617473.0,Vinyl,9/5/14 10:13,,,,18.0,,9.99,14.98,19.99,Metal,Sludge Metal,Relapse Records,Relapse Records,,
169,RR7278,Myrkur (4),Myrkur (4),Myrkur,Relapse Records,"12"", EP",,2014,6097881.0,Vinyl,12/2/16 21:04,,,,11.0,,10.0,13.92,27.52,Metal,Black Metal,Relapse Records,,,
295,BSK064CD,Skyharbor,Skyharbor,Guiding Lights,Basick Records,"CD, Album, Dig",,2014,6295962.0,CD,3/19/15 17:43,,,,30.0,Yes,10.0,11.83,14.86,Metal,Djent,Basick Records,,,
290,IOMLP 412,Haken (2),Haken (2),Restoration,Inside Out Music,"12"", EP + CD, EP",,2014,6242292.0,Vinyl,6/12/15 18:26,,,,20.0,,10.2,12.88,22.06,Metal,Progressive Metal,Inside Out Music,,,
293,VR210,Between The Buried And Me,Between The Buried And Me,The Silent Circus,Victory Records,"2xLP, Album, Ltd, RP",,2014,7059448.0,Vinyl,5/27/15 12:51,,,,6.0,,12.0,24.32,29.99,Metal,Progressive Metal,Victory Records,,,
301,VR224,Between The Buried And Me,Between The Buried And Me,Between The Buried And Me,Victory Records,"LP, Album, RP",,2014,6583712.0,Vinyl,3/13/15 20:56,,,,6.0,,12.0,18.99,24.98,Metal,Progressive Metal,Victory Records,,,
136,"BR022LP, NVP023LP",Falls Of Rauros,Falls Of Rauros,Believe In No Coming Shore,"Bindrune Recordings, Nordvis Produktion","LP, Album",,2014,6562822.0,Vinyl,4/24/17 6:27,,,,15.0,Yes,12.0,18.83,25.0,Metal,Black Metal,Bindrune Recordings,Nordvis Produktion,,
231,RR7246,Inter Arma,Inter Arma,The Cavern,Relapse Records,"LP, EP",5.0,2014,6162791.0,Vinyl,12/9/15 9:21,,,,12.88,,12.0,15.89,22.9,Metal,Sludge Metal,Relapse Records,,,
